name,SMILES
mol_200,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1
mol_201,CCS(=O)c1nc(-c2cccc(OCc3ccccc3)c2)cc(C(F)(F)F)n1
mol_202,CC(C)(C)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(=O)O
mol_203,CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1
mol_204,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
mol_205,Cc1ccc(Nc2cc(-c3cccc(N)c3)ncn2)cc1NS(=O)(=O)c1cn(C)cn1
mol_206,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1.Cl
mol_207,O=[N+]([O-])c1ccc(S(=O)(=O)N2CCN(c3ccnc4cc(Cl)ccc34)CC2)c([N+](=O)[O-])c1
mol_208,O=C(O)CN(CC(=O)O)C(=O)OCC1c2ccccc2-c2ccccc21
mol_209,[H]c1c([H])c(C(=O)NC(Cc2cc(=O)[nH]c3ccccc23)C(=O)O)c([H])c([H])c1Cl
mol_210,O=C(C=Cc1ccc(CNCCc2c[nH]c3ccc(OCc4ccccc4)cc23)cc1)NO
mol_211,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1.O=C(O)C(=O)O
mol_212,CC(C)CC(NC(c1ccc(-c2ccsc2)cc1)C(F)(F)F)C(=O)NCC#N
mol_213,CCCCCCCCCCCCCC=CC(O)C(N)CO
mol_214,CCN(CC)CC(C)(C)COC(=O)c1ccc([N+](=O)[O-])cc1
mol_215,CC(C)CC(NC(c1ccc(-c2ccncc2)cc1)C(F)(F)F)C(=O)NCC#N
mol_216,COC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
mol_217,CC(C)CC(NC(c1ccc(-c2nccs2)cc1)C(F)(F)F)C(=O)NCC#N
mol_218,CC(C)CC(NC(c1ccc(-c2ccc(F)cc2)cc1)C(F)(F)F)C(=O)NCC#N
mol_219,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O
mol_220,O=C(O)CC1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
mol_221,O=C(O)CCCC=CCC1C(F)CC(O)C1C=CC(O)COc1ccccc1
mol_222,COC1(C)CC2(CO2)C(O)C(C=CC(C)=CCC2OC(C)C(NC(=O)C=CC(C)OC(C)=O)CC2C)O1
mol_223,NC(CSC(=O)OCc1ccccc1)C(=O)O
