DRUG SMILES,FRAG_SMILES
C=C1c2cc(OCCOC)cnc2C=CN1C(C)c1nnc2c(F)cc(-c3cnn(C)c3)cn12,C=C1c2cc(C)cnc2C=CN1C
CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,CC(=O)C1=C(C)NC(=O)CC1c1ccc(C(F)(F)F)cc1
Cn1nc(C2CC2)cc1NC(=O)NC(CO)CCN1CC(Oc2ccc(Cl)cc2)C1,Cc1ccc(Cl)cc1
CCC(C)C(NC(C)=O)C(=O)N1CCCC1C(=O)NC(C=O)Cc1ccccc1,CNC(C=O)Cc1ccccc1
NC(=O)C1CCCCC1C(=O)Nc1ccc(Cl)c(Cl)c1,CC(=O)C1CCCCC1C(N)=O
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Br)Br,CNC(CO)C(O)c1ccc([N+](=O)[O-])cc1
O.O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CNc1ccc([N+](=O)[O-])cc1Cl
ONc1nc2ccc(OC(F)(F)F)cc2s1,Cc1ccc2nc(C)sc2c1
COc1cc(C=CC(=O)N2CCN(CC(=O)NC(C)C)CC2)cc(OC)c1OC,CN1CCN(C)CC1
COc1ccc(S(=O)(=O)Nc2ccc(C=CC(=O)NO)cc2)cc1,CCc1ccc(C)cc1
O=C(NN1CCCCCC1)NS(=O)(=O)c1ccc(Cl)cc1,CS(=O)(=O)c1ccc(Cl)cc1
CCC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1,CCCN1CCC(C(=O)CC)(c2ccccc2)CC1
CC(=O)c1ccc2c(c1)C(NC(=O)c1cc(F)cc(F)c1)C(O)C(C)(C)O2,CNC1c2cc(C(C)=O)ccc2OC(C)(C)C1O
C[N+](C)(CCOc1ccc(N)cc1)CCc1ccc(Br)cc1,Cc1ccc(N)cc1
CC(CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C,CN1C(=O)c2cccnc2Nc2ccccc21
COc1ccc(C2Sc3ccccc3N(CCN(C)C(C)C)C(=O)C2OC(C)=O)cc1,COc1ccc(C2Sc3ccccc3N(C)C(=O)C2OC)cc1
CC(C)(C)C(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CN1C(=O)C(CCC(=O)C(C)(C)C)C(=O)N1C
O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,CCCCn1c(=O)[nH]c2ccccc2c1=O
C=CC(=O)N1CC(N2CCN(C(=O)CNc3cc(C4CC4)c(Cl)cc3O)CC2)C1,Cc1cc(C2CC2)c(Cl)cc1O
Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1,Cc1cc(C2CCCCC2)n(C)c(=O)c1
Cc1nnc(-c2sc(NC(=O)C(C(C)C)n3c(=O)[nH]c4ccccc4c3=O)nc2C)o1,Cn1c(=O)[nH]c2ccccc2c1=O
CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,CCC(CC1CCNC1=O)NC
O=C(c1ccccc1Nc1ccncc1)N1CCCCC1,CN1CCCCC1
CC(=O)Oc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2,COc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2
O=[N+]([O-])c1cnc(-c2ccc(F)cc2)n1CCO,Cc1ccc(F)cc1
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCCCC2)cc1,CNC1CCCCCCC1
O=C(Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1)c1cccs1,CCc1cc(Br)cc(Br)c1NC
CC(C)(C)C1NC(C(=O)NCCC(O)CO)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)c(F)cc12,CC(=O)C1NC(C(C)(C)C)C2(C(=O)Nc3cc(Cl)c(F)cc32)C1c1cccc(Cl)c1
C#CC1(OCC(O)CN2CCN(c3ccccc3OC)CC2)CCCCC1,C#CC1(C)CCCCC1
CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,COC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,CC(=O)C(C)c1ccc(C)cc1
O=C(O)CCON=Cc1ccccc1C(F)(F)F,CC(=O)CCON=Cc1ccccc1C(F)(F)F
COc1ccc(-c2nc(=O)n(CC3CC3)nc2-c2ccc(OC)cc2)cc1,CCC1CC1
Cc1c(N(CNC(=O)c2cccnc2)C(C)C)c(=O)n(-c2ccccc2)n1C,Cc1c(C)n(C)n(C)c1=O
CCOC(=O)N(c1cccc(C(=O)c2ccccc2)c1)S(=O)(=O)C(F)(F)F,CN(C)c1cccc(C(=O)c2ccccc2)c1
CCCCOc1ccc(C(=O)OCCOCCN(CC)CC)cc1N,CC(=O)c1ccc(C)c(N)c1
